26,63	38,5
26,67	25,5
26,71	37,5
26,75	36
26,79	24,5
26,83	33,5
26,87	33,5
26,91	30
26,95	34
26,99	34,5
27,03	28
27,07	38,5
27,11	27,5
27,15	23,5
27,19	30
27,23	34,5
27,27	33
27,31	36
27,35	30,5
27,39	27
27,43	34
27,47	41,5
27,51	33,5
27,55	39
27,59	64,5
27,63	53,5
27,67	66,5
27,71	81,5
27,75	97,5
27,79	117
27,83	151
27,87	151
27,91	179,5
27,95	182,5
27,99	168,5
28,03	134
28,07	129
28,11	129
28,15	99
28,19	85,5
28,23	60,5
28,27	52,5
28,31	51
28,35	37,5
28,39	41,5
28,43	40,5
28,47	36
28,51	36,5
28,55	27
28,59	28
28,63	29
28,67	24,5
28,71	32,5
28,75	24
28,79	29
28,83	27
28,87	28
28,91	23,5
28,95	30,5
28,99	31,5
29,03	30,5
29,07	29
29,11	34
29,15	30
29,19	33,5
29,23	34
29,27	35,5
29,31	33,5
29,35	38
29,39	40,5
29,43	29
29,47	36,5
29,51	46,5
29,55	45,5
29,59	52,5
29,63	69
29,67	69,5
29,71	92,5
29,75	131,5
29,79	135,5
29,83	174
29,87	161,5
29,91	183,5
29,95	166
29,99	132,5
30,03	132,5
30,07	111
30,11	87,5
30,15	84
30,19	66,5
30,23	43,5
30,27	49
30,31	41,5
30,35	35,5
30,39	31
30,43	27
30,47	20,5
30,51	34
30,55	34,5
30,59	31
30,63	25,5
30,67	24,5
30,71	24,5
30,75	32,5
30,79	27,5
30,83	23,5
30,87	22,5
30,91	27
30,95	28
30,99	30
31,03	32
31,07	31
31,11	21
31,15	26,5
31,19	24,5
31,23	25
31,27	28
31,31	26,5
31,35	27,5
31,39	25,5
31,43	26,5
31,47	33,5
31,51	22
31,55	25,5
31,59	25,5
31,63	21
31,67	27,5
31,71	26,5
31,75	25,5
31,79	28
31,83	20,5
31,87	26,5
31,91	21,5
31,95	25
31,99	26,5
32,03	21
32,07	32,5
32,11	27
32,15	23
32,19	23
32,23	22,5
32,27	28
32,31	22
32,35	32
32,39	26
32,43	36
32,47	29,5
32,51	27
32,55	32
32,59	36
32,63	29,5
32,67	28
32,71	33,5
32,75	36,5
32,79	34,5
32,83	32,5
32,87	43
32,91	36,5
32,95	47,5
32,99	61,5
33,03	74
33,07	75
33,11	90,5
33,15	103
33,19	144,5
33,23	196
33,27	238,5
33,31	346,5
33,35	422
33,39	519
33,43	607
33,47	697
33,51	646,5
33,55	651
33,59	562
33,63	489,5
33,67	431,5
33,71	333
33,75	263,5
33,79	211
